taxon_id,common_name
47153,owocówka jabłkóweczka
47219,Pszczoła miodna
47802,Brudnica nieparka
48162,Rolnica znakówka
48196,Chrabąszcz kasztanowiec
48197,Chrabąszcz majowy
48484,Biedronka azjatycka
48548,Rusałka osetnik
48612,Mrówiszczak mrówkomirek
49133,rusałka admirał
50956,licinek sadowiaczek
51134,Rzutka ślazowa
51149,Puklica rudnica
51275,Tarczówka rudonoga
51495,Zorzynek rzeżuchowiec
51556,Szablak
51557,Bujanka większa
51560,Trzpiennik olbrzym
51574,Wierzchołówka żółtowłosa
51660,Biedronka mączniakówka
51662,Ogrodnica niszczylistka
51666,Plusknia jagodziak
51668,Fruczak bujankowiec
51678,Łątka dzieweczka
51680,Ogniczek większy
51685,Przeziernik mróweczka
51699,Wojsiłka pospolita
51701,Wojsiłka
51702,biedronka siedmiokropka
51707,Glinik lulkarz
51781,Proporzyca marzymłódka
51824,Świtezianka błyszcząca
51974,Miernik zieleniak
52160,Bzyg brzęk
52402,Kruszczyca złotawka
52406,Podrzut myszaty
52413,Pokłonnik osinowiec
52424,złotook większy
52429,plamiec czeremszak
52436,Strangalia czarniawa
52438,Zgrzytnica zielonawa
52447,Bezrąbek sadowiec
52480,Trzmielówka leśna
52482,Bzyg prążkowany
52486,Gniłun naliściak
52488,Bzyg pospolity
52490,Gnojka postawna
52506,Biedronka Dwukropka
52514,Naliściak srebrniak
52516,Wójek żółtaczek
52519,Żagnica sina
52589,Strzępotek ruczajnik
52591,Rączyca rdzawa
52592,osadnik egeria
52771,latolistek cytrynek
52785,Miesierka nagobrzuszka
52881,Pokropka wysączka
52964,Kuliboda
53258,Zmorsznik czerwony
53524,trzmiel rudonogi
53633,Mszyca różano-szczeciowa
53648,koczownica
53848,Grabarz lśniący
53853,Mrówka rudnica
53869,Próchniaczek czarniawy
53905,Modliszka zwyczajna
53936,szarynka grzybieniówka
54068,Dostojka selene
54087,Bielinek bytomkowiec
54327,Szerszeń europejski
54375,Ukrzeniec
54468,Rusałka pokrzywnik
55040,Łucznik korzeniowiec
55047,barciel kosmatek
55048,Barciel pszczołowiec
55054,Paśnik pałączasty
55213,Hurtnica pospolita
55359,Podkrzewin szary
55361,Narożnica zbrojówka
55401,Bielinek kapustnik
55403,Zalotka większa
55598,Rewiś dębowy
55600,Letyniec pędowiec
55601,Rewiś gwiazdoszek
55610,kowal bezskrzydły
55623,Wieczernica szczawiówka
55625,szablak podobny
55626,Bielinek rzepnik
55637,Trzmiel rudy
55638,Przezierka pokrzywianka
55640,Modraszek wieszczek
55641,Modraszek ikar
55643,rusałka kratkowiec
55651,Błyszczka jarzynówka
55653,Przestrojnik jurtina
55655,Czerwończyk żarek
55658,Płomienka złotowianka
55660,Kresówka gruszówka
55719,Gnojka wytrwała
55761,Poskrzypka liliowa
55783,Orszoł prążkowany
55966,Palik trędownikowy
55996,Zmrocznik gładysz
56096,Leń marcowy
56189,Pienik ślinianka
56198,namiotnik
56203,Wąsik zieloniaczek
56225,rusałka ceik
56226,Widłogonka siwica
56228,Nadobnica alpejska
56293,Fruczak gołąbek
56521,Zajadek domowy
56529,Paź królowej
56530,Zmierzchnica trupia główka
56532,pawica gruszówka
56552,Biegacz gajowy
56553,biegacz
56554,Pluskolec pospolity
56558,pluskolec pstry
56582,Barczatka dębówka
56637,Zimowek białoplam
56639,Zimowek pozłotnik
56731,Wrzeciążeczka barwna
56757,Pryszczarek malinowiec
56832,Rusałka żałobnik
56918,Pisogłówka różanecznikowa
57443,Ważka czteroplama
57444,Napierśnik torfowiskowy
57454,Gadziogłówka pospolita
57484,Modraszek argus
57485,Niepylak mnemozyna
57489,Oblaczek granatek
57495,Przeplatka cinksia
57516,Trzmiel ziemny
57619,Trzmiel kamiennik
57651,Konik
57669,Pszczolinka
57678,Pseudosmuklik
57839,Siedliszek dwubarwny
57842,Siedliszek sześcioplamy
57871,Biedronka pięciokropka
58462,Stępień ślimaczarz
58468,Warcabnik klinek
58484,Karłątek ryska
59185,strzępotek soplaczek
59346,pawica grabówka
59588,Mokosz cierniowiak
59895,Biegacz fioletowy
59955,Żagniczka zwyczajna
60469,kobyliczka pniowa
60472,Oszynda leszczynowiec
60579,Pszczolinka ruda
60771,boratek naśnieżek
60780,Piędzik przedzimek
60834,Modraszek aleksis
60841,Pozłotka pokątnica
60896,zieleńczyk ostrężyniec
60921,czerwiec biały
61152,Łunica czerwona
61295,niestrzęp głogowiec
61351,Szrotówek platanowcowiaczek
61413,koszówka czysta
61422,Szewnica pokrzywnica
61429,Szklarka zielona
61447,omomiłek szarowłosy
61448,omomiłek czarny
61449,omomiłek szary
61508,Tężnica wytworna
61517,Ogniczek piłkoczułki
61524,skorek pospolity
61532,Wrzeciążka
61536,Świtezianka dziewica
61546,Wąsateczka zawilczaneczka
61749,Jelonek rogacz
61781,Karłątek kniejnik
61799,Galonówka srebrnica
61803,Trzmiel drzewny
61844,Zalęszczyca lśniąca
61847,Gnojka trójkątówka
61851,Gnojka znamieniówka
61855,Bieżnica żółtnica
61856,Trzmiel gajowy
61857,Trzmielówka łąkowa
61858,Padlinówka
61862,Krasanka natrawka
61892,wyślepek żółtonogi
61898,Dętka rudonoga
61901,Złotka cynobrowa
61910,Znamionówka starka
61917,Komarnica błotniarka
61918,Plamiec agreściak
61937,Owełnica lucernianka
61939,Owrzódka konwaliowa
61970,Kapturnica dziewannówka
61972,Paśnik goździeniak
62005,Maskurka żółtobrzucha
62060,Odorek zieleniak
62067,Lecicha pospolita
62083,Kraśnik sześcioplamek
62094,Kraśnik rzęsinowiec
62321,Baldurek pstrokaty
62326,szczerbatek zielony
62331,Nastrosz topolowiec
62380,Czerwończyk płomieniec
62381,Górówka boruta
62417,Bryzgun olchowiec
62424,Przezierka blada
62426,Przestrojnik trawnik
62429,przestrojnik titonus
62437,bielinek bryonie
62439,Modraszek semiargus
62453,Makatka zbójnica
62456,Zmięk żółty
62626,Borecznik podobny
62749,paź żeglarz
62766,Dostojka latonia
62980,Porembica stalnica
62984,Komar tygrysi
63031,piętnówka rdestówka
63066,Wyroślówka ostowa
63147,Przeziernik malinowiec
64206,Niezdarka dziewica
64581,Nartnik duży
64582,Nartnik
67743,Wywilżna karłowata
67754,Niedziób czerwony
67771,Wtyk amerykański
68005,Pryszczel lekarski
68328,Łanocha pobrzęcz
68330,Niedźwiedziówka nożówka
68353,Pańdrożyca strzemioneczka
68354,Przeplatka febe
69082,Hurtnica podobna
69190,Bzyg nadobny
69202,Pszczolinka wiosenna
69203,Gielas czternastoplamek
69257,Pierwomrówka łagodna
69315,Podziemnica zwyczajna
69320,Mrówka faraona
70071,Zmrocznik Wilczomleczek
70087,Szczotlicha błyszczkówka
70105,Dostojka adype
70118,Grabarz Żółtoczarny
70119,Lśniczka szmaragdowa
70128,Zawisak borowiec
70151,Plujka burczało
70175,Ślipień trzmielowiec
70190,Szałaśnica jedwabista
70192,Warzywnica kapustna
70203,Rozstrzępiak wiciokrzewowiec
70205,Wyślepek czwórpasy
70211,Kwiatówka zmierzchnicowata
70212,Iłun turkusowy
70357,Warzywnica jednobarwna
70400,Pszczolinka niebieskawa
70405,Czernich łąkowy
70415,Gniłun okazały
71219,Turkuć podjadek
71248,Świerszcz polny
81651,Świerzbik nakropek
81653,Szewnica miętówka
81685,Rozcinka rukwianka
81687,Rolnica tasiemka
81923,Tarczówka Marmurkowata
81979,Piszczeń
82061,Bęblik strojny
82106,Żagnica wielka
82109,Oleica krówka
82463,gnojek naśmietny
82764,tęcznik liszkarz
82774,Rohatyniec nosorożec
83459,Przylepek kruszyniak
83806,słonecznica orężówka
83839,Wprzeczka różnobarwna
84361,Płomienka purpurowa
84455,Rolnica zbożówka
84508,Ozdobnik lucernowiec
84640,Klecanka rdzaworożna
84778,Stonka ziemniaczana
84804,strojnica włoska
85030,Szafranka czerwona
85057,Szklarnik leśny
85460,skalnik bryzeida
93426,Żagnica południowa
93427,Żagnica północna
93434,żagnica torfowa
93437,Żagnica jesienna
93446,Żagnica torfowcowa
93450,Żagnica zielona
94041,Husarz wędrowny
94043,Husarz władca
94048,Husarz mniejszy
96735,Biegacz pomarszczony
97022,Kozioróg dębosz
97092,Wynurt lśniący
98012,Biegowiec świerkowy
98273,łątka halabardówka
98287,strzępotek edypus
98787,Zgniotek cynobrowy
99901,Nimfa stawowa
100282,Górówka epifron
100290,Górówka manto
100303,Górówka pronoe
100362,Barczatka kataks
100408,Oczobarwnica jeziorna
100742,Przeplatka alpejska
100743,Przeplatka maturna
100995,Mrówka ćmawa
100996,Mrówka łąkowa
101687,Gadziogłówka jeziorna
102792,skalnik hermiona
102800,Skalnik semele
104420,Pałątka południowa
104429,Pałątka niebieskooka
104543,Zalotka białoczelna
104545,Zalotka spłaszczona
104547,Zalotka torfowcowa
104875,Czerwończyk nieparek
106023,Żerdzianka krawiec
106656,Iglica mała
107654,Trzepla zielona
107942,Lecicha białoznaczna
107949,Lecicha południowa
107954,Lecicha mała
108018,Pachnica próchniczka
108020,Pachnica dębowa
108799,Niepylak apollo
109281,Modraszek arion
109283,Modraszek nausitous
109284,Modraszek telejus
109650,Pióronóg zwykły
109983,Modraszek korydon
110657,postojak wiesiołkowiec
112801,Miedziopierś metaliczna
113497,Straszka pospolita
113503,Szablak szkocki
113507,szablak wędrowny
113525,Szablak krwisty
114499,Zawartka krasnoplamka
116385,Wstęgówka pąsówka
116703,Kózka ciemnoskrzydła
116752,Wstęgówka czerwonka
117294,Szablak żółty
117313,Mułek buławkowaty
118841,Szczerklina piaskowa
118901,Zmrocznik przytuliak
118936,Krasopani hera
118948,Szablak przepasany
119019,Szerszeń czarny
119115,Plujka pospolita
119170,Nadrzewek długoskrzydły
119172,Wścieklica zwyczajna
119344,Kopułkowate
119642,Galasówka dębianka
119858,mrzonka pierzak
119946,Żerdzianka sosnówka
120113,Mrzyk dziewannowiec
120156,Mucha domowa
120272,Paśnik jednozębik
120489,Ścierwica
121237,Karaczan prusak
121329,Szarynka kalinówka
121827,Mirka alpejska
121989,Trzmiel ogrodowy
122190,Żuk gnojowy
122223,Bolimuszka kleparka
122375,Kosternik palemon
122528,Bycznik
122940,barciak większy
123022,Plamówka malinówka
123579,Wojsiłka zwyczajna
123580,Rynnica dwudziestokropkowa
123596,Okrajka Dwuplamka
123628,dostojka malinowiec
123629,osadnik kostrzewiec
123657,Trzmiel rudoszary
123658,Krocznik odwrotnik
123661,Moszenica wierzbówka
123816,wietek gorczycznik
123920,Ciołek matowy
124027,Pielgrzymka jesienna
124031,Zawisak powojowiec
124095,Witalnik nostrzak
124096,Włochacz kolczatek
124145,Zadrzechnia fioletowa
124150,Kartonówka zwyczajna
124160,szlaczkoń siarecznik
124162,Morsznica osowata
124184,Omacnica spichrzanka
124195,Oziębica późna
124221,Wałczatka dwuguzka
124318,ponocnica obłazówka
124358,pszczolinka pospolita
124366,Zagwozdnik fiołkowy
124406,Miesierka różówka
124488,Pałątka zielona
124540,Biegowiec osowaty
124542,Porobnica włochatka
124549,Prężec ostrożny
124696,Głazik nacierniak
124740,płomienka łąkowa
124910,Trzmiel łąkowy
124957,Barczatka śliwienica
125012,Barczatka napójka
125049,Agatówka łobodnica
125099,Lotnica zyska
125266,Fałdówka płaszczynka
125312,Krasopani poziomkówka
125357,Miernik plamiak
125494,Modraszek iglicznik
125563,Pasyn debrak
125655,Żuk leśny
125659,Wrzecień wysmukły
125786,Miesierka Ziemna
125793,Mecyna żółta
125815,Strzępotek perełkowiec
125884,Trzmielec gajowy
125957,Przejrzynka malutka
126088,Szrotówek kasztanowcowiaczek
126155,Osa dachowa
126276,Rolnica gwoździówka
126630,Murarka rogata
126636,Okrajka okrągłoplamka
126737,Przezierka ośmioplamka
126765,Tantniś krzyżowiaczek
126988,Lesz truskawczak
127103,bielinek rukiewnik
127133,Oprzędnica jesienna
127163,Torebnica wiązowa
127299,Pływak żółtobrzeżek
127308,Konik brunatny
127309,Poskrzypka szparagowa
127431,Piórolotek zwyczajny
127506,Barczatka malinówka
127564,Opłonka kozibródka
127618,Paśnik zmiennik
127718,pszczolinka dwubarwna
127719,Tęposz czarnożółty
127726,Pszczolinka piaskowa
127732,Letyniec żołędziowiec
127735,Trzmielec czarny
127738,Grzebacz musznik
127741,Lepiarka
127742,Galasówka jagodnica
127743,osa leśna
127747,Smuklik Rdzawonogi
127748,Smuklik Koniczynowiec
127751,Pseudosmuklik pospolity
127757,miodwa łąkowa
127758,Rewiś numizmatek
127759,Koczownica pszczolinkowa
127777,Osa pospolita
127779,Trzmielec żółty
127780,Pszczolinka białoczarna
127789,Trzmielec ziemny
127794,Osmyk pszczolinkowiec
127812,Samotka
127837,Korzenica dębowa
127853,Paśnik posmutek
128214,Nasierszyca brzozówka
128245,Wstęgówka karmazynka
128248,Wstęgówka karminówka
128252,Wstęgówka jesionka
128255,Wstęgówka narzeczona
128258,Wstęgówka księżniczka
128264,Mrzyk krostowiec
128544,Karłątek leśny
128545,Ogończyk śliwowiec
128611,Rozszczepka nosatka
128633,Zrąbień dębowiec
128824,Padlinówka skórnica
129033,Łątka zalotna
129091,Namiotnik owocowiaczek
129102,Osa saksońska
129109,Posępnica stonkówka
129126,Modraszek malczyk
129129,Skakun szydłówka
129156,Misiówka gołotka
129158,Paśnik zieleniak
129223,Grotniczek owocowiec
129382,Tryk klonowiec
129385,Wonnica Piżmówka
129422,Obnażacz kopciuszek
129485,Piórolotek pięciopiór
129569,Ciośnik dwuzębiak
129570,Mól nasienniczek
129572,Żłobik gniazdoszek
129692,Kopułka
129851,Kwiatomir czteroplamy
130096,Nawozak pospolity
130097,Piętnówka lśnica
130099,Ciemnokres brzozowiec
130101,Ciemnokres wierzbowiec
130102,Wachlarzyk natrawny
130103,Światłówka rdzawica
130105,Wiechetka wielbłądka
130121,Złotolitka
130127,Zażartka mrówkowata
130139,zadomka blada
130143,Trzyszcz polny
130147,Biegacz problematyczny
130161,Biegacz górski
130164,Biegacz ogrodowy
130166,Biegacz gładki
130185,Paśnik nagórek
130188,Wachlarzyk ździeblaczek
130205,Oleica fioletowa
130392,Ślepak czarnożółty
130393,Strzyżak sarni
130395,Jusznica deszczowa
130398,polowiec szachownica
130403,Kraśnik pięcioplamek
130408,Pałątka pospolita
130409,Bosak czarny
130410,Toniak żeberkowy
130414,Biedronka dziesięciokropka
130423,ruczajnik pospolity
130432,Wiecheć płowy
130433,Skorobieżek miedziak
130435,Skorobieżek zgrabnik
130445,Skorobieżek polny
130574,Dzier truskawek
130575,trzcinówka
130579,Listnik zmiennobarwny
130587,Mrzyk muzealny
130616,Wykarczak sosnowiec
130622,Nieskorek rudobrzuchy
130624,Nieskorek pasiasty
130625,Szubak dwukropek
130638,Niestrudek błyszczyk
130650,Niestrudek czteroplamiec
130707,Rozpucz lepiężnikowiec
130719,Muszynka rączycowata
130721,Dorzutek olszynówka
130785,Modraszek idas
130787,Przekrasek mróweczka
130838,otrupek włochaty
130843,Kistnik kuklikowiec
130874,Pstrokówka przetakówka
131007,Pieszek zbożowiec
131009,Pieszek czarnogłowy
131022,wagisz japoński
131028,Podos pustynny
131031,Smukwa kosmata
131035,Wątlik charłaj
131076,Skórnik słoniniec
131084,Pierzchotek pobrzeżnik
131089,Urazek leśny
131092,Dzier kruszcowy
131098,Dzier czerwononogi
131099,Dzier włochaty
131102,Dzier ćmawy
131812,Rękatek zwinny
131817,Rębacz dwupaskowy
131819,Szczeciorożek ostrewnik
131825,sąsiad dziwaczek
131846,Ważka ruda
131875,Grabarz czarny
131878,Grabarz pospolity
131880,Wyszczerek żwawy
131885,gliczyca jednorożec
131888,Zalęszczyca zielona
131899,Zatrawiec zielonoplamek
131902,Skrzypionka zbożowa
131919,drogoń połyskliwy
131922,Drogoń piaskowy
131923,drogoń zmiennobarwny
131931,Szykoń ciemny
131934,Szykoń czarny
131939,pustosz kradnik
131942,Bystrzyk detrytusowiec
131943,Bystrzyk ściółkowy
131951,Skulik omszony
131954,Omarlica smutna
131960,Myśliczek krasnoplamek
131970,Mącznik młynarek
131973,Pościerwka pospolita
131978,Pościerwka przymarszczona
132069,Warzywnica ozdobna
132070,Długoskrzydlak ciepłosz
132317,Niedźwiedziówka jastrzębica
132319,Pałkowiak plamisty
132419,Skoczek zielony
132657,Szablak zwyczajny
132663,Smaglec Ogonokleszcz
132718,Cuchna nawozowa
132790,Mucha pawia
132875,Przeplatka atalia
132885,Walgina rdestniak
132887,rolnica czopówka
132888,Wygłoba koniczynówka
132890,przeplatka drobnostka
132968,Nerkosz trawny
132997,dostojka eufrozyna
133020,Płoszczyca szara
133066,biedronka bledniczka
133154,Wielena plamowstęg
133207,Zgrubień welonowy
133220,świerszcz domowy
133250,pasikonik zielony
133295,Przeplatka didyma
133434,Powszelatek brunatek
133704,Trzmiel ciemnopasy
133807,Nimfa rzęsianka
133956,Zdobniczka orzechowa
134078,Szczerbówka ksieni
134099,Zalotka czerwonawa
134100,łątka wiosenna
135239,Pędźka szklistoskrzydła
135282,Wieczernica klonówka
136600,Żółtynka ozdobna
141725,Nezara zielona
141727,Tłustosz śródziemnomorski
141731,Brudziec zwyczajny
141737,Długoskrzydlak sierposz
141751,skalnik statilinus
141761,Owoszcza brązowa
141848,Latalec dębiniak
141849,Nacinek wypłowiak
142754,Zdobniczka bukowa
142778,Ozdobka bukowa
142779,Wachlarzyk słomkowy
142936,Dzidosz mglisty
142981,Przezierka prosowianka
143009,przylepek pomrocznik
143034,Czerwonka baldaszkówka
143103,Grotnik piołuniak
143114,Sadzanka rumienica
143145,Piętnówka grochówka
143294,Szlaczkoń sylwetnik
143426,Mszycznik żółtoczarny
143432,Plamiec trzmieliniak
143433,Nawarżka długonoga
143485,Paśnik mysiotrzewiak
143517,krępak nabrzozak
143529,Taszczyn pszczeli
143617,Świetlik świętojański
143904,Galasówka długobrzuszka
146701,Ochybnica chi
147043,Kraśnik wykowiec
147078,Czerwończyk dukacik
147083,słonik orzechowiec
147298,Osadnik megera
147328,Dostojka pandora
147332,Borczyniec południowy
147950,łatczyn brodawnik
148145,Słonik żołędziowiec
153105,Pokłonnik kamilla
153107,Okrzętnica wrzosówka
154213,Karaluch
154388,Nastrosz lipowiec
154576,Modraszek adonis
154653,Połowik białawy
154654,Czerwończyk uroczek
154661,Nęczyn lepiarkowiec
154664,Pszczolinka wrzosówka
154667,Bąk szary
154668,bąk jesienny
154671,Mrówkolew pospolity
154672,Podłatczyn krótkoskrzydły
154762,wiośnik zdobnooki
155387,Doskwier pastwiskowy
173273,Żuchwień głowacz
173325,Grzybiec
173596,Mamrzyk skrócinkowiec
173963,Szklarzyk nabluszczek
174025,Drgalnik obrzeżony
174209,Korosz jednobarwny
174482,światłówka izdebnica
176098,Światowidka samotnica
176239,Przemianka tarninówka
176302,Świętek plamkowany
176305,Świętek krzyżaczek
176728,Głoworożek hubiak
176820,Naścierwek niebieski
177107,Śniadek biegaczowaty
177131,Rezelia bielica
177220,Szczękalica wielokropka
177443,padliniec pospolity
177491,Zmorsznik ciemny
177745,Rytel pospolity
179672,ogończyk akacjowiec
182738,Osa rudawa
194642,Raptun mszycołów
194643,Wysysek ostrogon
194786,Pobzyga cebularz
194792,Biegacz złocisty
196616,ziołomirek lucernowy
198998,Pszczolinka podbiałówka
199124,murarka lucernowa
199266,rozdziałka algira
199404,owocanka południówka
199861,Wachlarzyk pałecznik
199870,Zadarlica spiżarnianka
200014,Opuchlak rudonóg
200015,Trawosz poziomkowy
200017,Rytnik plamisty
200930,Torzyśniad kasztanówka
201235,paciepnica korzeniówka
201403,Peryzoma przywrotnica
201519,Powszelatek malwowiec
202083,Zmrocznik pazik
202237,Rozszczepka jagodzianka
202239,Rozszczepka śnicianka
202776,kraśnik purpuraczek
202812,Roztropnica młodzianka
203328,Urazek kukurydziany
203342,Rolnica panewka
203409,Zadomka polna
203851,Cudzich popielaty
204441,Wężynka cyprysówka
204590,Ulanik udopasek
204707,Wdrapek cytryniak
204720,stopnik olszowiaczek
204781,Wtyk nakrzewny
204846,Korowiec płaski
204860,Pastorałek paprotnik
204885,Wężynka księżycowa
205039,Paśnik oszczepiak
205063,Okrutniczka smukła
205083,Błonica dębowa
205120,Fałdówka szarynka
205135,Nastrosz półpawik
205151,Krokiewka lękliwica
205154,Mklik płomienisty
205155,Rezelia kapturnica
205156,Bodlica sinica
205183,Mokradlica białoklinka
205186,Sykrzytek bezksiężyczak
205187,rolnica komes
205190,Zgrzeblica trojaczka
205202,paśnik niecierpek
205218,Rozlotlik lilakowiak
205220,Bodzieniec bzowiak
205224,Niesobka chmielanka
205231,Krocznik połowiczak
205294,Szczotecznica szarawka
205320,Szypszyniec różany
205321,Straszka saracenka
205346,Mól gniazdownik
205712,Prześwietlik dębowy
205753,Sówka wróblówka
205779,Pędruś czerwony
207524,plamiec nabuczak
207527,Wystrój wężowiaczek
207574,Murarka leśna
207580,ulotka jesionowa
207669,Modraszek dorylas
207678,Powszelatek alweus
207696,Miodówka bukszpanowa
207704,Przeplatka diamina
207713,Wątlak nawrzosak
207838,przezierka szybianka
207956,Przeplatka aurinia
207977,rusałka pawik
208111,Łątka wczesna
208979,Ogończyk ostrokrzewowiec
208988,Ogończyk tarninowiec
209022,Zwójka sosnóweczka
209083,Zgniot husarczyk
209343,Żerdzianka szewc
209651,Gomolatka żukowata
209660,Złotka rozmarynowa
209661,Skupieniec lipowy
209683,Oczobarwnica mniejsza
209688,Oczobarwnica większa
209787,Białka wierzbówka
210336,Bzyg lustrzyk
210605,Piętnówka wiciokrzewka
210933,Hurmak olchowiec
211009,paśnik cytryniak
211055,Nosal węgierski
211558,Głaszczyn brodaty
211626,ogniczek grzebykoczułki
212218,Osnuja czerwonogłowa
212223,Strąkowiec fasolowy
212729,zadarlica tłuszczówka
212779,skoropędek dwubarwny
212817,Opiętek malinowiec
212818,Opiętek niebieskawy
212855,źrenicówka wierzbniakówka
213146,Skorobieżek źółcik
213166,Skorobieżek zwyczajny
213514,Rolnica żółtozielona
213535,okrzętnica chwastówka
213855,Sówka łagodna
213859,Sówka perzówka
213962,Pienik olchowiec
213992,Niekrocz dziurawczak
214084,Zwójka sosnówka
214086,Zwójka różóweczka
214138,Licinek olszowy
214380,Szczapówka sosnowa
215168,Pędruś nabrzozak
215232,Odrzewek
215289,Dostojka eunomia
215455,Nagryzek ciemny
215465,strąkowiec grochowy
215780,nocena księżycówka
215974,Gmachówka cieśla
216011,Omomiłek żółtonogi
216086,Biegacz granulowany
216096,Światłówka morfeusz
216165,Tarczyk żółtawy
216166,Tarczyk ostowy
216842,Złotka malachitówka
217186,Szarek ostowiec
217219,Murzyłka dwuskrzydła
217265,Biedronka hieroglifka
217396,szlaczkoń torfowiec
217763,Poskrzypka dwunastokropkowa
217843,Krytoryjek olszowiec
218294,Stonka kukurydziana
218844,paśnik obcinek
219175,Latalec olszyniak
219341,Wydrążka wierzbóweczka
219366,Socznik żółty
219751,Nacinek wrzosowiak
219790,Grotnik porzeczkowiak
219806,Grotnik kreskowiak
219837,grotnik szarynek
220326,Kałdunica rdestówka
220682,Krętoryjek skrzypowy
221381,czerwonka trzynastokropka
221586,Paciepnica ziemniaczana
221602,paśnik widliczak
221940,Szeliniak korzeniowiec
221942,Spuszczel pospolity
221981,Ziołomirek ciemnopasy
222207,Czułaj białobrody
222281,Kornik drukarz
222462,Japoneczka przejrzysta
222645,Paśnik pachniczek
222724,Sówka wężówka
223524,Śliń łupinka
223526,Znaczyn dwuplamek
223751,bagieniec rombowy
223780,Sygaczówka plamista
224154,Przezierka byliczanka
224214,Brudnica mniszka
224258,Witalnik dębiniak
224429,Gnilik czarny
225416,wścieklica uszatka
226204,Zbójca leśny
226237,Ustronnik domowit
226430,Zatrawiec bydlarek
226714,Opuchlak lucernowiec
226715,Opuchlak chropawiec
226717,Nadrach pstrokacz
226718,Opuchlak truskawkowiec
226887,zwojkówka porzeczkóweczka
227054,Przeziernik topolowiec
227350,Żłobiel lipnik
227925,Naliściak pączkojad
228001,Pchełka chrzanowa
228022,Płaskowiak zmienny
228262,Nakreślik iwiniak
228590,Obryzg matowy
229871,Rębacz sosnowiec
229899,Zgiętobruzdek ostowy
229901,gruboryjek szczawiak
229931,Badylica żółtaczka
230396,Rzemlik osinowiec
230507,maraszek czarny
231080,Oprzędzik żółtonogi
231082,Oprzędzik pręgowany
231296,witalnik rdzawiak
231405,wydłubka oczateczka
231425,Światłówka naziemnica
231469,Kusak czerwonopokrywy
231494,Żywiak chlebowiec
231837,Zmiennik leszczynowiec
232127,przeziernik porzeczkowiec
232242,szykończyk drobny
232420,Borówka brunatna
232422,Borówka matowa
232547,Paśnik jałowczak
232606,Mól włosienniczek
233070,Modzelatka
233809,Tykotek rudowłos
243705,Paśnik chrzaniak
243770,Przylepek księżycowiak
243968,Gałecznik czteroplamek
244084,biedronka wełnowcowa
244408,rezelia rdzawica
244644,Pryszczarek bukowiec
244655,przegibka stałka
244656,Przegibka zmiennica
244708,Zimsterla bukówka
244709,Przegibka dębica
